layer,metric,mean,std,n,ci_lower,ci_upper,se,category,source_file
31,cosine_dist,0.3303207933247089,0.1833760640928338,625,0.31594437407476234,0.3446972125746554,0.007335042563713352,metaphor,
32,cosine_dist,0.2104707791119814,0.1605706550290359,625,0.19788227107874476,0.22305928714521803,0.006422826201161436,metaphor,
33,cosine_dist,0.2563241861343384,0.169622670407332,625,0.24302601313594324,0.2696223591327335,0.00678490681629328,metaphor,
34,cosine_dist,0.3997429411157965,0.2243291571885394,625,0.38215585836492605,0.41733002386666695,0.008973166287541577,metaphor,
35,cosine_dist,0.3908925860166549,0.2231127407513009,625,0.373400868562072,0.4083843034712378,0.008924509630052035,metaphor,
36,cosine_dist,0.3435173464715481,0.2067280341859714,625,0.3273101664075773,0.35972452653551884,0.008269121367438856,metaphor,
37,cosine_dist,0.4427579590752721,0.2327756215789513,625,0.4245086856843253,0.4610072324662189,0.009311024863158051,metaphor,
38,cosine_dist,0.4129701334506273,0.2312954361348476,625,0.39483690446611586,0.4311033624351387,0.009251817445393905,metaphor,
39,cosine_dist,0.3768360421763733,0.2186701730456392,625,0.35969261562986954,0.39397946872287704,0.008746806921825568,metaphor,
40,cosine_dist,0.4000979655236005,0.2278525186533286,625,0.3822346563097099,0.4179612747374911,0.009114100746133143,metaphor,
41,cosine_dist,0.3919087468588259,0.2272109311909631,625,0.37409573717770206,0.4097217565399497,0.009088437247638524,metaphor,
42,cosine_dist,0.3413947296455502,0.2060353407012565,625,0.32524185575287407,0.3575476035382263,0.00824141362805026,metaphor,
43,cosine_dist,0.3600627535119652,0.2237049960082196,625,0.3425246040984537,0.3776009029254767,0.008948199840328784,metaphor,
44,cosine_dist,0.2926497342094779,0.1883974765978055,625,0.2778796434530808,0.30741982496587494,0.0075358990639122206,metaphor,
45,cosine_dist,0.2428465364217758,0.1723697943413417,625,0.2293329928645116,0.25636007997904003,0.006894791773653668,metaphor,
46,cosine_dist,0.2782502915501594,0.1826252960701767,625,0.263932731431619,0.2925678516686998,0.007305011842807067,metaphor,
47,cosine_dist,0.1325126670598983,0.1166595956132669,625,0.1233667228257779,0.14165861129401872,0.004666383824530676,metaphor,
0,cosine_dist,0.7981562629366975,0.1847405238037917,823,0.7855347811745805,0.8107777446988145,0.006439649841361178,idiom,
1,cosine_dist,0.8302410566683673,0.1641528151459171,823,0.8190261281843233,0.8414559851524114,0.00572200743100686,idiom,
2,cosine_dist,0.7939702786577646,0.1611863835812979,823,0.7829580169255544,0.8049825403899747,0.005618604126949991,idiom,
3,cosine_dist,0.8231191545148309,0.1436151728356164,823,0.8133073587735069,0.8329309502561548,0.005006110223819521,idiom,
4,cosine_dist,0.6851687084615824,0.181133164915612,823,0.6727936816378791,0.6975437352852857,0.006313905215256992,idiom,
5,cosine_dist,0.7590791232796795,0.154902838773269,823,0.7484961536408502,0.7696620929185088,0.005399573523955789,idiom,
6,cosine_dist,0.770144398278361,0.1506881976407908,823,0.7598493731310387,0.7804394234256833,0.00525266036954153,idiom,
7,cosine_dist,0.7790008440425897,0.1408451353360462,823,0.7693782974008209,0.7886233906843586,0.004909552786515636,idiom,
8,cosine_dist,0.726062420915183,0.149586536805884,823,0.7158426612908197,0.7362821805395463,0.005214258886885369,idiom,
9,cosine_dist,0.706772029330843,0.1602831955357889,823,0.6958214734507624,0.7177225852109237,0.005587120970822542,idiom,
10,cosine_dist,0.6158607756585462,0.1659756133170032,823,0.6045213135129174,0.6272002378041751,0.005785546180987535,idiom,
11,cosine_dist,0.6383872248734803,0.169618930008461,823,0.6267988511505319,0.6499755985964287,0.0059125442173203376,idiom,
